type,distance,age_yrs
gully,35,12
gully,30,17
gully,55,19
gully,58,24
gully,70,25
gully,124,39
gully,170,41
gully,178,49
gully,205,57
gully,260,52
gully,290,56
gully,320,61
gully,349,56
gully,370,65
gully,377,62
gully,385,66
gully,395,64
gully,440,69
gully,455,60
gully,526,67
proto-gully,1,46
proto-gully,2,59
proto-gully,65,89
proto-gully,67,106
proto-gully,105,92
proto-gully,125,112
proto-gully,175,118
proto-gully,215,119
proto-gully,260,130
proto-gully,290,120
proto-gully,325,133
proto-gully,395,137
proto-gully,394,142
proto-gully,428,138
proto-gully,520,143
proto-gully,530,140
