NAME,MONTH,ELEVATION,LATITUDE,LONGITUDE,PRECIPITATION,TEMPERATURE
"GROVELAND 2, CA US",201001,853.4,37.8444,-120.2258,208.03,5.6
"GROVELAND 2, CA US",201002,853.4,37.8444,-120.2258,176.02,6.1
"GROVELAND 2, CA US",201003,853.4,37.8444,-120.2258,155.96,8.2
"GROVELAND 2, CA US",201004,853.4,37.8444,-120.2258,81.28,10.3
"GROVELAND 2, CA US",201005,853.4,37.8444,-120.2258,48.26,14.7
"GROVELAND 2, CA US",201006,853.4,37.8444,-120.2258,11.68,18.7
"GROVELAND 2, CA US",201007,853.4,37.8444,-120.2258,2.54,22.5
"GROVELAND 2, CA US",201008,853.4,37.8444,-120.2258,2.54,21.9
"GROVELAND 2, CA US",201009,853.4,37.8444,-120.2258,15.24,18.7
"GROVELAND 2, CA US",201010,853.4,37.8444,-120.2258,60.96,13.7
"GROVELAND 2, CA US",201011,853.4,37.8444,-120.2258,104.9,8
"GROVELAND 2, CA US",201012,853.4,37.8444,-120.2258,161.8,4.9
"CANYON DAM, CA US",201001,1389.9,40.1705,-121.0886,152.91,0.2
"CANYON DAM, CA US",201002,1389.9,40.1705,-121.0886,164.08,1.4
"CANYON DAM, CA US",201003,1389.9,40.1705,-121.0886,135.13,4.1
"CANYON DAM, CA US",201004,1389.9,40.1705,-121.0886,69.85,6.9
"CANYON DAM, CA US",201005,1389.9,40.1705,-121.0886,43.94,11.4
"CANYON DAM, CA US",201006,1389.9,40.1705,-121.0886,18.54,15.7
"CANYON DAM, CA US",201007,1389.9,40.1705,-121.0886,3.56,19.4
"CANYON DAM, CA US",201008,1389.9,40.1705,-121.0886,5.08,18.8
"CANYON DAM, CA US",201009,1389.9,40.1705,-121.0886,17.53,15.4
"CANYON DAM, CA US",201010,1389.9,40.1705,-121.0886,54.86,10.1
"CANYON DAM, CA US",201011,1389.9,40.1705,-121.0886,118.62,3.9
"CANYON DAM, CA US",201012,1389.9,40.1705,-121.0886,171.2,0.2
"KERN RIVER PH 3, CA US",201001,823.9,35.7831,-118.4389,66.55,7.6
"KERN RIVER PH 3, CA US",201002,823.9,35.7831,-118.4389,67.06,8.9
"KERN RIVER PH 3, CA US",201003,823.9,35.7831,-118.4389,52.83,10.9
"KERN RIVER PH 3, CA US",201004,823.9,35.7831,-118.4389,18.54,13.8
"KERN RIVER PH 3, CA US",201005,823.9,35.7831,-118.4389,8.64,18.2
"KERN RIVER PH 3, CA US",201006,823.9,35.7831,-118.4389,2.54,22.9
"KERN RIVER PH 3, CA US",201007,823.9,35.7831,-118.4389,4.32,26.7
"KERN RIVER PH 3, CA US",201008,823.9,35.7831,-118.4389,4.57,26.3
"KERN RIVER PH 3, CA US",201009,823.9,35.7831,-118.4389,5.84,22.8
"KERN RIVER PH 3, CA US",201010,823.9,35.7831,-118.4389,12.95,17.3
"KERN RIVER PH 3, CA US",201011,823.9,35.7831,-118.4389,38.86,11.1
"KERN RIVER PH 3, CA US",201012,823.9,35.7831,-118.4389,50.04,7.4
"DONNER MEMORIAL ST PARK, CA US",201001,1809.6,39.3239,-120.2331,140.72,-1.9
"DONNER MEMORIAL ST PARK, CA US",201002,1809.6,39.3239,-120.2331,167.39,-0.9
"DONNER MEMORIAL ST PARK, CA US",201003,1809.6,39.3239,-120.2331,135.89,1.7
"DONNER MEMORIAL ST PARK, CA US",201004,1809.6,39.3239,-120.2331,65.53,4.7
"DONNER MEMORIAL ST PARK, CA US",201005,1809.6,39.3239,-120.2331,45.47,9.1
"DONNER MEMORIAL ST PARK, CA US",201006,1809.6,39.3239,-120.2331,18.03,13.2
"DONNER MEMORIAL ST PARK, CA US",201007,1809.6,39.3239,-120.2331,6.86,16.8
